# det_alpha	det_beta	CI Coeffs
[2, 5]	[5, 8]	0.000000000000
[2, 5]	[6, 8]	0.000000000000
[2, 5]	[7, 8]	0.000000000000
[3, 5]	[0, 1]	0.000635846210
[3, 5]	[0, 2]	0.000000000000
[3, 5]	[1, 2]	0.000000000000
[3, 5]	[0, 3]	0.000000000000
[3, 5]	[1, 3]	0.000000000000
[3, 5]	[2, 3]	0.000100439643
[3, 5]	[0, 4]	0.000000000000
[3, 5]	[1, 4]	0.000000000000
[3, 5]	[2, 4]	-0.000000000041
[3, 5]	[3, 4]	0.000061686324
[3, 5]	[0, 5]	0.000000000000
[3, 5]	[1, 5]	0.000000000000
[3, 5]	[2, 5]	-0.000036385535
[3, 5]	[3, 5]	-0.000332341923
[3, 5]	[4, 5]	0.000022346553
[3, 5]	[0, 6]	0.000000000000
[3, 5]	[1, 6]	0.000000000000
[3, 5]	[2, 6]	-0.000013718753
[3, 5]	[3, 6]	0.000012657314
[3, 5]	[4, 6]	0.000008828156
[3, 5]	[5, 6]	-0.000031937992
[3, 5]	[0, 7]	0.000000000000
[3, 5]	[1, 7]	0.000000000000
[3, 5]	[2, 7]	0.000044838125
[3, 5]	[3, 7]	-0.000040783807
[3, 5]	[4, 7]	-0.000027412623
[3, 5]	[5, 7]	0.000102909164
[3, 5]	[6, 7]	0.000000000060
[3, 5]	[0, 8]	-0.000165417944
[3, 5]	[1, 8]	0.000019454918
[3, 5]	[2, 8]	0.000000000000
[3, 5]	[3, 8]	0.000000000000
[3, 5]	[4, 8]	0.000000000000
[3, 5]	[5, 8]	0.000000000000
[3, 5]	[6, 8]	0.000000000000
[3, 5]	[7, 8]	0.000000000000
[4, 5]	[0, 1]	0.000424271346
[4, 5]	[0, 2]	0.000000000000
[4, 5]	[1, 2]	0.000000000000
[4, 5]	[0, 3]	0.000000000000
[4, 5]	[1, 3]	0.000000000000
[4, 5]	[2, 3]	-0.000000000133
[4, 5]	[0, 4]	0.000000000000
[4, 5]	[1, 4]	0.000000000000
[4, 5]	[2, 4]	0.000100436856
[4, 5]	[3, 4]	-0.000092447012
[4, 5]	[0, 5]	0.000000000000
[4, 5]	[1, 5]	0.000000000000
[4, 5]	[2, 5]	-0.000024277376
[4, 5]	[3, 5]	0.000022346553
[4, 5]	[4, 5]	-0.000350912380
[4, 5]	[0, 6]	0.000000000000
[4, 5]	[1, 6]	0.000000000000
[4, 5]	[2, 6]	0.000054065819
[4, 5]	[3, 6]	-0.000049744687
[4, 5]	[4, 6]	-0.000032936167
[4, 5]	[5, 6]	0.000124554152
[4, 5]	[0, 7]	0.000000000000
[4, 5]	[1, 7]	0.000000000000
[4, 5]	[2, 7]	-0.000003159664
[4, 5]	[3, 7]	0.000003233531
[4, 5]	[4, 7]	0.000002023909
[4, 5]	[5, 7]	-0.000007653790
[4, 5]	[6, 7]	-0.000000000026
[4, 5]	[0, 8]	-0.000110371802
[4, 5]	[1, 8]	0.000012981427
[4, 5]	[2, 8]	0.000000000000
[4, 5]	[3, 8]	0.000000000000
[4, 5]	[4, 8]	0.000000000000
[4, 5]	[5, 8]	0.000000000000
[4, 5]	[6, 8]	0.000000000000
[4, 5]	[7, 8]	0.000000000000
[0, 6]	[0, 1]	0.000000000000
[0, 6]	[0, 2]	0.018040221645
[0, 6]	[1, 2]	-0.000414324074
[0, 6]	[0, 3]	-0.012232795220
[0, 6]	[1, 3]	0.000280946900
[0, 6]	[2, 3]	0.000000000000
[0, 6]	[0, 4]	0.047706398121
[0, 6]	[1, 4]	-0.001095680912
[0, 6]	[2, 4]	0.000000000000
[0, 6]	[3, 4]	0.000000000000
[0, 6]	[0, 5]	-0.000000068299
[0, 6]	[1, 5]	0.000000001767
[0, 6]	[2, 5]	0.000000000000
[0, 6]	[3, 5]	0.000000000000
[0, 6]	[4, 5]	0.000000000000
[0, 6]	[0, 6]	0.019368822030
[0, 6]	[1, 6]	-0.002901033315
[0, 6]	[2, 6]	0.000000000000
[0, 6]	[3, 6]	0.000000000000
[0, 6]	[4, 6]	0.000000000000
[0, 6]	[5, 6]	0.000000000000
[0, 6]	[0, 7]	-0.000000007844
[0, 6]	[1, 7]	0.000000000402
[0, 6]	[2, 7]	0.000000000000
[0, 6]	[3, 7]	0.000000000000
[0, 6]	[4, 7]	0.000000000000
[0, 6]	[5, 7]	0.000000000000
[0, 6]	[6, 7]	0.000000000000
[0, 6]	[0, 8]	0.000000000000
[0, 6]	[1, 8]	0.000000000000
[0, 6]	[2, 8]	-0.000097747272
[0, 6]	[3, 8]	0.000066280830
[0, 6]	[4, 8]	-0.000258481174
[0, 6]	[5, 8]	-0.000000000937
[0, 6]	[6, 8]	-0.000333068471
[0, 6]	[7, 8]	-0.000000000204
[1, 6]	[0, 1]	0.000000000000
[1, 6]	[0, 2]	-0.000768694248
[1, 6]	[1, 2]	0.000256006364
[1, 6]	[0, 3]	0.000521240234
[1, 6]	[1, 3]	-0.000173594182
[1, 6]	[2, 3]	0.000000000000
[1, 6]	[0, 4]	-0.002032821111
[1, 6]	[1, 4]	0.000677009790
[1, 6]	[2, 4]	0.000000000000
[1, 6]	[3, 4]	0.000000000000
[1, 6]	[0, 5]	0.000000001140
[1, 6]	[1, 5]	-0.000000000877
[1, 6]	[2, 5]	0.000000000000
[1, 6]	[3, 5]	0.000000000000
[1, 6]	[4, 5]	0.000000000000
[1, 6]	[0, 6]	-0.002901033315
[1, 6]	[1, 6]	0.002228050309
[1, 6]	[2, 6]	0.000000000000
[1, 6]	[3, 6]	0.000000000000
[1, 6]	[4, 6]	0.000000000000
[1, 6]	[5, 6]	0.000000000000
[1, 6]	[0, 7]	0.000000000363
[1, 6]	[1, 7]	-0.000000000089
[1, 6]	[2, 7]	0.000000000000
[1, 6]	[3, 7]	0.000000000000
[1, 6]	[4, 7]	0.000000000000
[1, 6]	[5, 7]	0.000000000000
[1, 6]	[6, 7]	0.000000000000
[1, 6]	[0, 8]	0.000000000000
[1, 6]	[1, 8]	0.000000000000
[1, 6]	[2, 8]	0.000017489177
[1, 6]	[3, 8]	-0.000011858969
[1, 6]	[4, 8]	0.000046243709
[1, 6]	[5, 8]	0.000000000339
[1, 6]	[6, 8]	-0.000059533453
[1, 6]	[7, 8]	0.000000000028
[2, 6]	[0, 1]	-0.000354370428
[2, 6]	[0, 2]	0.000000000000
[2, 6]	[1, 2]	0.000000000000
[2, 6]	[0, 3]	0.000000000000
[2, 6]	[1, 3]	0.000000000000
[2, 6]	[2, 3]	0.000034937557
[2, 6]	[0, 4]	0.000000000000
[2, 6]	[1, 4]	0.000000000000
[2, 6]	[2, 4]	-0.000136254754
